,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
639,21,1988-07-23,46.0,Santenay,Santenay,Individual time trial,Juan Martinéz,ESP
640,22,1988-07-24,173.0,Nemours,Paris,Plain stage,Jean-Paul van Poppel,NED
641,P,1987-07-01,6.0,West Berlin,West Berlin,Individual time trial,Jelle Nijdam,NED
642,1,1987-07-02,105.0,West Berlin,West Berlin,Plain stage,Nico Verhoeven,NED
644,3,1987-07-04,219.0,Karlsruhe,Stuttgart,Plain stage,Acácio da Silva,POR
645,4,1987-07-05,79.0,Stuttgart,Pforzheim,Plain stage,Herman Frison,BEL
646,5,1987-07-05,112.0,Pforzheim,Strasbourg,Plain stage,Marc Sergeant,BEL
647,6,1987-07-06,169.0,Strasbourg,Épinal,Plain stage,Christophe Lavainne,FRA
648,7,1987-07-07,211.0,Épinal,Troyes,Plain stage,Manuel Jorge Domínguez[8],ESP
649,8,1987-07-08,206.0,Troyes,Épinay-sous-Sénart,Plain stage,Jean-Paul van Poppel,NED
650,9,1987-07-09,260.0,Orléans,Renazé,Plain stage,Adrie van der Poel,NED
651,10,1987-07-10,87.0,Saumur,Futuroscope,Individual time trial,Stephen Roche,IRE
652,11,1987-07-11,206.0,Poitiers,Chaumeil,Hilly stage,Martial Gayant,FRA
653,12,1987-07-12,228.0,Brive,Bordeaux,Plain stage,Davis Phinney,USA
654,13,1987-07-13,219.0,Bayonne,Pau,Stage with mountain(s),Erik Breukink,NED
655,14,1987-07-14,166.0,Pau,Luz Ardiden,Stage with mountain(s),Dag Otto Lauritzen,NOR
656,15,1987-07-15,164.0,Tarbes,Blagnac,Plain stage,Rolf Gölz,GER
657,16,1987-07-16,216.0,Blagnac,Millau,Hilly stage,Régis Clère,FRA
658,17,1987-07-17,239.0,Millau,Avignon,Hilly stage,Jean-Paul van Poppel,NED
659,18,1987-07-19,37.0,Carpentras,Mont Ventoux,Mountain time trial,Jean-François Bernard,FRA
660,19,1987-07-20,185.0,Valréas,Villard-de-Lans,Stage with mountain(s),Pedro Delgado,ESP
661,20,1987-07-21,201.0,Villard-de-Lans,Alpe d'Huez,Stage with mountain(s),Federico Echave,ESP
662,21,1987-07-22,185.0,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
663,22,1987-07-23,186.0,La Plagne,Morzine,Stage with mountain(s),Eduardo Chozas,ESP
664,23,1987-07-24,225.0,Saint-Julien-en-Genevois,Dijon,Plain stage,Régis Clère,FRA
665,24,1987-07-25,38.0,Dijon,Dijon,Individual time trial,Jean-François Bernard,FRA
666,25,1987-07-26,192.0,Créteil,Paris,Plain stage,Jeff Pierce,USA
667,P,1986-07-04,4.6,Boulogne-Billancourt,Boulogne-Billancourt,Individual time trial,Thierry Marie,FRA
668,1,1986-07-05,85.0,Nanterre,Sceaux,Plain stage,Pol Verschuere,BEL
670,3,1986-07-06,214.0,Levallois-Perret,Liévin,Plain stage,Davis Phinney,USA
671,4,1986-07-07,243.0,Liévin,Évreux,Plain stage,Pello Ruiz Cabestany,ESP
672,5,1986-07-08,124.5,Evreux,Villers-sur-Mer,Plain stage,Johan van der Velde,NED
673,6,1986-07-09,200.0,Villers-sur-Mer,Cherbourg,Plain stage,Guido Bontempi,ITA
674,7,1986-07-10,201.0,Cherbourg,Saint-Hilaire-du-Harcouët,Plain stage,Ludo Peeters,BEL
675,8,1986-07-11,204.0,Saint-Hilaire-du-Harcouët,Nantes,Plain stage,Eddy Planckaert,BEL
676,9,1986-07-12,61.5,Nantes,Nantes,Individual time trial,Bernard Hinault,FRA
677,10,1986-07-13,183.0,Nantes,Futuroscope,Plain stage,Jose-Angel Sarrapio,ESP
678,11,1986-07-14,258.3,Futuroscope,Bordeaux,Plain stage,Rudy Dhaenens,BEL
679,12,1986-07-15,217.5,Bayonne,Pau,Stage with mountain(s),Pedro Delgado,ESP
680,13,1986-07-16,186.0,Pau,Superbagnères,Stage with mountain(s),Greg LeMond,USA
681,14,1986-07-17,154.0,Superbagnères,Blagnac,Plain stage,Niki Rüttimann,SUI
682,15,1986-07-18,225.5,Carcassonne,Nîmes,Plain stage,Frank Hoste,BEL
683,16,1986-07-19,246.5,Nîmes,Gap,Plain stage,Jean-François Bernard,FRA
684,17,1986-07-20,190.0,Gap,Serre Chevalier,Stage with mountain(s),Eduardo Chozas,ESP
685,18,1986-07-21,162.5,Briançon,Alpe d'Huez,Stage with mountain(s),Bernard Hinault,FRA
686,19,1986-07-23,179.5,Villard-de-Lans,Saint-Étienne,Plain stage,Julián Gorospe,ESP
687,20,1986-07-24,58.0,Saint-Étienne,Saint-Étienne,Individual time trial,Bernard Hinault,FRA
688,21,1986-07-25,190.0,Saint-Étienne,Puy de Dôme,Plain stage,Erich Mächler,SUI
689,22,1986-07-26,194.0,Clermont-Ferrand,Nevers,Plain stage,Guido Bontempi,ITA
690,23,1986-07-27,255.0,Cosne-sur-Loire,Paris,Plain stage,Guido Bontempi,ITA
691,P,1985-06-28,6.0,Plumelec,Plumelec,Individual time trial,Bernard Hinault,FRA
692,1,1985-06-29,256.0,Vannes,Lanester,Plain stage,Rudy Matthijs,BEL
693,2,1985-06-30,242.0,Lorient,Vitre,Plain stage,Rudy Matthijs,BEL
695,4,1985-07-02,239.0,Fougères,Pont-Audemer,Plain stage,Gerrit Solleveld,NED
696,5,1985-07-03,224.0,Neufchâtel-en-Bray,Roubaix,Plain stage with cobblestones,Henri Manders,NED
697,6,1985-07-04,222.0,Roubaix,Reims,Plain stage,Francis Castaing,FRA
698,7,1985-07-05,217.0,Reims,Nancy,Plain stage,Ludwig Wijnants,BEL
699,8,1985-07-06,75.0,Sarrebourg,Strasbourg,Individual time trial,Bernard Hinault,FRA
700,9,1985-07-07,174.0,Strasbourg,Épinal,Hilly stage,Maarten Ducrot,NED
701,10,1985-07-08,204.0,Épinal,Pontarlier,Hilly stage,Jørgen V. Pedersen,DEN
702,11,1985-07-09,195.0,Pontarlier,Morzine Avoriaz,Stage with mountain(s),Luis Herrera,COL
703,12,1985-07-10,269.0,Morzine Avoriaz,Lans-en-Vercors,Stage with mountain(s),Fabio Parra,COL
704,13,1985-07-11,32.0,Villard-de-Lans,Villard-de-Lans,Individual time trial,Eric Vanderaerden,BEL
705,14,1985-07-13,179.0,Autrans,Saint-Étienne,Hilly stage,Luis Herrera,COL
706,15,1985-07-14,238.0,Saint-Étienne,Aurillac,Plain stage,Eduardo Chozas,ESP
707,16,1985-07-15,247.0,Aurillac,Toulouse,Plain stage,Frédéric Vichot,FRA
708,17,1985-07-16,209.0,Toulouse,Luz Ardiden,Stage with mountain(s),Pedro Delgado,ESP
709,18a,1985-07-17,53.0,Luz-Saint-Sauveur,Aubisque,Stage with mountain(s),Stephen Roche,IRE
710,18b,1985-07-17,83.0,Laruns,Pau,Stage with mountain(s),Régis Simon,FRA
711,19,1985-07-18,203.0,Pau,Bordeaux,Plain stage,Eric Vanderaerden,BEL
712,20,1985-07-19,225.0,Montpon-Ménestérol,Limoges,Plain stage,Johan Lammerts,NED
713,21,1985-07-20,46.0,Lac de Vassivière,Lac de Vassivière,Individual time trial,Greg LeMond,USA
714,22,1985-07-21,196.0,Orléans,Paris,Plain stage,Rudy Matthijs,BEL
715,P,1984-06-29,5.0,Montreuil,Noisy-le-Sec,Individual time trial,Bernard Hinault,FRA
716,1,1984-06-30,149.0,Bondy,Saint-Denis,Plain stage,Frank Hoste,BEL
717,2,1984-07-01,249.0,Bobigny,Louvroil,Plain stage,Marc Madiot,FRA
719,4,1984-07-02,83.0,Valenciennes,Béthune,Plain stage,Ferdi Van Den Haute,BEL
720,5,1984-07-03,207.0,Béthune,Cergy-Pontoise,Plain stage,Paulo Ferreira,POR
721,6,1984-07-04,202.0,Cergy-Pontoise,Alençon,Plain stage,Frank Hoste,BEL
722,7,1984-07-05,67.0,Alençon,Le Mans,Individual time trial,Laurent Fignon,FRA
723,8,1984-07-06,192.0,Le Mans,Nantes,Plain stage,Pascal Jules,FRA
724,9,1984-07-07,338.0,Nantes,Bordeaux,Plain stage,Jan Raas,NED
725,10,1984-07-08,198.0,Langon,Pau,Plain stage,Eric Vanderaerden,BEL
726,11,1984-07-09,227.0,Pau,Guzet-Neige,Stage with mountain(s),Robert Millar,GBR
727,12,1984-07-10,111.0,Saint-Girons,Blagnac,Plain stage,Pascal Poisson,FRA
728,13,1984-07-11,220.0,Blagnac,Rodez,Plain stage,Pierre-Henri Menthéour,FRA
729,14,1984-07-12,228.0,Rodez,Domaine du Rouret,Hilly stage,Fons De Wolf,BEL
730,15,1984-07-13,241.0,Domaine du Rouret,Grenoble,Hilly stage,Frédéric Vichot,FRA
731,16,1984-07-15,22.0,Les Échelles,La Ruchère,Individual time trial,Laurent Fignon,FRA
732,17,1984-07-16,151.0,Grenoble,Alpe d'Huez,Stage with mountain(s),Luis Herrera,COL
733,18,1984-07-17,185.0,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
734,19,1984-07-18,186.0,La Plagne,Morzine,Stage with mountain(s),Ángel Arroyo,ESP
735,20,1984-07-19,141.0,Morzine,Crans-Montana,Stage with mountain(s),Laurent Fignon,FRA
736,21,1984-07-20,320.0,Crans-Montana,Villefranche-sur-Saône,Hilly stage,Frank Hoste,BEL
737,22,1984-07-21,51.0,Villié-Morgon,Villefranche-sur-Saône,Individual time trial,Laurent Fignon,FRA
738,23,1984-07-22,197.0,Pantin,Paris,Hilly stage,Eric Vanderaerden,BEL
739,P,1983-07-01,6.0,Fontenay-sous-Bois,Fontenay-sous-Bois,Individual time trial,Eric Vanderaerden,BEL
740,1,1983-07-02,163.0,Nogent-sur-Marne,Créteil,Plain stage,Frits Pirard,NED
742,3,1983-07-04,152.0,Valenciennes,Roubaix,Hilly stage,Rudy Matthijs,BEL
743,4,1983-07-05,300.0,Roubaix,Le Havre,Plain stage,Serge Demierre,SUI
744,5,1983-07-06,257.0,Le Havre,Le Mans,Plain stage,Dominique Gaigne,FRA
745,6,1983-07-07,58.0,Châteaubriant,Nantes,Individual time trial,Bert Oosterbosch,NED
746,7,1983-07-08,216.0,Nantes,Île d'Oléron,Plain stage,Riccardo Magrini,ITA
747,8,1983-07-09,222.0,La Rochelle,Bordeaux,Plain stage,Bert Oosterbosch,NED
748,9,1983-07-10,207.0,Bordeaux,Pau,Plain stage,Philippe Chevallier,FRA
749,10,1983-07-11,201.0,Pau,Bagnères-de-Luchon,Stage with mountain(s),Robert Millar,GBR
750,11,1983-07-12,177.0,Bagnères-de-Luchon,Fleurance,Plain stage,Régis Clère,FRA
751,12,1983-07-13,261.0,Fleurance,Roquefort-sur-Soulzon,Plain stage,Kim Andersen,DEN
752,13,1983-07-14,210.0,Roquefort-sur-Soulzon,Aurillac,Hilly stage,Henk Lubberding,NED
753,14,1983-07-15,149.0,Aurillac,Issoire,Hilly stage,Pierre Le Bigaut,FRA
754,15,1983-07-16,16.0,Clermont-Ferrand,Puy de Dôme,Individual time trial,Ángel Arroyo,ESP
755,16,1983-07-17,144.0,Issoire,Saint-Étienne,Hilly stage,Michel Laurent,FRA
756,17,1983-07-18,223.0,La Tour-du-Pin,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
757,18,1983-07-20,247.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Jacques Michaud,FRA
758,19,1983-07-21,15.0,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
759,20,1983-07-22,291.0,Morzine,Dijon,Plain stage,Philippe Leleu,FRA
760,21,1983-07-23,50.0,Dijon,Dijon,Individual time trial,Laurent Fignon,FRA
761,22,1983-07-24,195.0,Alfortville,Paris,Plain stage,Gilbert Glaus,SUI
762,P,1982-07-02,7.0,Basel,Basel,Individual time trial,Bernard Hinault,FRA
763,1,1982-07-03,207.0,Basel,Möhlin,Hilly stage,Ludo Peeters,BEL
764,2,1982-07-04,250.0,Basel,Nancy,Plain stage,Phil Anderson,AUS
765,3,1982-07-05,134.0,Nancy,Longwy,Plain stage,Daniel Willems,BEL
766,4,1982-07-06,219.0,Beauraing,Mouscron,Plain stage,Gerrie Knetemann,NED
768,6,1982-07-08,233.0,Lille,Lille,Plain stage,Jan Raas,NED
769,7,1982-07-10,235.0,Cancale,Concarneau,Plain stage,Pol Verschuere,BEL
770,8,1982-07-11,201.0,Concarneau,Châteaulin,Plain stage,Frank Hoste,BEL
772,9b,1982-07-12,138.0,Plumelec,Nantes,Plain stage,Stefan Mutter,SUI
773,10,1982-07-13,147.0,Saintes,Bordeaux,Plain stage,Pierre-Raymond Villemiane,FRA
774,11,1982-07-14,57.0,Valence d'Agen,Valence d'Agen,Individual time trial,Gerrie Knetemann,NED
775,12,1982-07-15,249.0,Fleurance,Pau,Stage with mountain(s),Sean Kelly,IRE
776,13,1982-07-16,122.0,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Beat Breu,SUI
777,14,1982-07-18,33.0,Martigues,Martigues,Individual time trial,Bernard Hinault,FRA
778,15,1982-07-19,208.0,Manosque,Orcières-Merlette,Stage with mountain(s),Pascal Simon,FRA
779,16,1982-07-20,123.0,Orcières-Merlette,Alpe d'Huez,Stage with mountain(s),Beat Breu,SUI
780,17,1982-07-21,251.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Peter Winnen,NED
781,18,1982-07-22,233.0,Morzine,Saint-Priest,Plain stage,Adrie van Houwelingen,NED
782,19,1982-07-23,48.0,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
783,20,1982-07-24,161.0,Sens,Aulnay-sous-Bois,Plain stage,Daniel Willems,BEL
784,21,1982-07-25,187.0,Fontenay-sous-Bois,Paris,Plain stage,Bernard Hinault,FRA
785,P,1981-06-25,6.0,Nice,Nice,Individual time trial,Bernard Hinault,FRA
786,1a,1981-06-26,97.0,Nice,Nice,Hilly stage,Freddy Maertens,BEL
788,2,1981-06-27,254.0,Nice,Martigues,Plain stage,Johan van der Velde,NED
789,3,1981-06-28,232.0,Martigues,Narbonne,Plain stage,Freddy Maertens,BEL
791,5,1981-06-30,117.0,Saint-Gaudens,Pla d'Adet,Stage with mountain(s),Lucien Van Impe,BEL
792,6,1981-07-01,27.0,Nay,Pau,Individual time trial,Bernard Hinault,FRA
793,7,1981-07-02,227.0,Pau,Bordeaux,Plain stage,Urs Freuler,SUI
794,8,1981-07-03,182.0,Rochefort,Nantes,Plain stage,Ad Wijnands,NED
795,9,1981-07-05,197.0,Nantes,Le Mans,Plain stage,René Martens,BEL
796,10,1981-07-06,264.0,Le Mans,Aulnay-sous-Bois,Plain stage,Ad Wijnands,NED
797,11,1981-07-07,246.0,Compiègne,Roubaix,Plain stage,Daniel Willems,BEL
798,12a,1981-07-08,107.0,Roubaix,Brussels,Plain stage,Freddy Maertens,BEL
799,12b,1981-07-08,138.0,Brussels,Circuit Zolder,Plain stage,Eddy Planckaert,BEL
800,13,1981-07-09,157.0,Beringen,Hasselt,Plain stage,Freddy Maertens,BEL
801,14,1981-07-10,38.0,Mulhouse,Mulhouse,Individual time trial,Bernard Hinault,FRA
802,15,1981-07-11,231.0,Besançon,Thonon-les-Bains,Hilly stage,Sean Kelly,IRE
803,16,1981-07-12,200.0,Thonon-les-Bains,Morzine,Stage with mountain(s),Robert Alban,FRA
804,17,1981-07-14,230.0,Morzine,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
805,18,1981-07-15,134.0,Le Bourg-d'Oisans,Le Pleynet,Stage with mountain(s),Bernard Hinault,FRA
806,19,1981-07-16,118.0,Veurey,Saint-Priest,Plain stage,Daniel Willems,BEL
807,20,1981-07-17,46.0,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
808,21,1981-07-18,207.0,Auxerre,Fontenay-sous-Bois,Plain stage,Johan van der Velde,NED
809,22,1981-07-19,187.0,Fontenay-sous-Bois,Paris,Plain stage,Freddy Maertens,BEL
810,P,1980-06-26,8.0,Frankfurt,Frankfurt,Individual time trial,Bernard Hinault,FRA
811,1a,1980-06-27,133.0,Frankfurt,Wiesbaden,Plain stage,Jan Raas,NED
813,2,1980-06-28,276.0,Frankfurt,Metz,Plain stage,Rudy Pevenage,BEL
814,3,1980-06-29,282.0,Metz,Liège,Plain stage,Henk Lubberding,NED
815,4,1980-06-30,35.0,Spa,Spa,Individual time trial,Bernard Hinault,FRA
816,5,1980-07-01,249.0,Liège,Lille,Plain stage,Bernard Hinault,FRA
817,6,1980-07-02,216.0,Lille,Compiègne,Plain stage,Jean-Louis Gauthier,FRA
819,7b,1980-07-03,92.0,Beauvais,Rouen,Plain stage,Jan Raas,NED
820,8,1980-07-04,164.0,Flers,Saint-Malo,Plain stage,Bert Oosterbosch,NED
821,9,1980-07-06,205.0,Saint-Malo,Nantes,Plain stage,Jan Raas,NED
822,10,1980-07-07,163.0,Rochefort,Bordeaux,Plain stage,Cees Priem,NED
823,11,1980-07-08,52.0,Damazan,Laplume,Individual time trial,Joop Zoetemelk,NED
824,12,1980-07-09,194.0,Agen,Pau,Plain stage,Gerrie Knetemann,NED
825,13,1980-07-10,200.0,Pau,Bagnères-de-Luchon,Stage with mountain(s),Raymond Martin,FRA
826,14,1980-07-11,189.0,Lézignan-Corbières,Montpellier,Plain stage,Ludo Peeters,BEL
827,15,1980-07-12,160.0,Montpellier,Martigues,Plain stage,Bernard Vallet,FRA
828,16,1980-07-13,209.0,Trets,Pra-Loup,Stage with mountain(s),Jos De Schoenmaecker,BEL
829,17,1980-07-14,242.0,Serre Chevalier,Morzine,Stage with mountain(s),Mariano Martínez,FRA
830,18,1980-07-16,199.0,Morzine,Prapoutel,Stage with mountain(s),Ludo Loos,BEL
831,19,1980-07-17,140.0,Voreppe,Saint-Étienne,Hilly stage,Sean Kelly,IRE
832,20,1980-07-18,34.0,Saint-Étienne,Saint-Étienne,Individual time trial,Joop Zoetemelk,NED
833,21,1980-07-19,208.0,Auxerre,Fontenay-sous-Bois,Plain stage,Sean Kelly,IRE
834,22,1980-07-20,186.0,Fontenay-sous-Bois,Paris,Plain stage,Pol Verschuere,BEL
835,P,1979-06-27,5.0,Fleurance,Fleurance,Individual time trial,Gerrie Knetemann,NED
836,1,1979-06-28,225.0,Fleurance,Luchon,Stage with mountain(s),René Bittinger,FRA
837,2,1979-06-29,24.0,Luchon,Superbagnères,Individual time trial,Bernard Hinault,FRA
838,3,1979-06-30,180.0,Luchon,Pau,Stage with mountain(s),Bernard Hinault,FRA
840,5,1979-07-02,145.0,Neuville-de-Poitou,Angers,Plain stage,Jan Raas,NED
841,6,1979-07-03,239.0,Angers,Saint-Brieuc,Plain stage,Jos Jacobs,BEL
842,7,1979-07-04,158.0,Saint-Hilaire-du-Harcouët,Deauville,Plain stage,Leo van Vliet,NED
844,9,1979-07-06,201.0,Amiens,Roubaix,Plain stage,Ludo Delcroix,BEL
845,10,1979-07-07,124.0,Roubaix,Brussels,Plain stage,Jo Maas,NED
846,11,1979-07-08,33.0,Brussels,Brussels,Individual time trial,Bernard Hinault,FRA
847,12,1979-07-09,193.0,Rochefort,Metz,Plain stage,Christian Seznec,FRA
848,13,1979-07-10,202.0,Metz,Ballon d'Alsace,Hilly stage,Pierre-Raymond Villemiane,FRA
849,14,1979-07-11,248.0,Belfort,Évian-les-Bains,Plain stage,Marc Demeyer,BEL
850,15,1979-07-12,54.0,Évian-les-Bains,Morzine Avoriaz,Individual time trial,Bernard Hinault,FRA
851,16,1979-07-13,201.0,Morzine Avoriaz,Les Menuires,Stage with mountain(s),Lucien Van Impe,BEL
852,17,1979-07-15,167.0,Les Menuires,Alpe d'Huez,Stage with mountain(s),Joaquim Agostinho,POR
853,18,1979-07-16,119.0,Alpe d'Huez,Alpe d'Huez,Stage with mountain(s),Joop Zoetemelk,NED
854,19,1979-07-17,162.0,Alpe d'Huez,Saint-Priest,Plain stage,Dietrich Thurau,GER
855,20,1979-07-18,240.0,Saint-Priest,Dijon,Plain stage,Serge Parsani,ITA
856,21,1979-07-19,49.0,Dijon,Dijon,Individual time trial,Bernard Hinault,FRA
857,22,1979-07-20,189.0,Dijon,Auxerre,Plain stage,Gerrie Knetemann,NED
858,23,1979-07-21,205.0,Auxerre,Nogent-sur-Marne,Plain stage,Bernard Hinault,FRA
859,24,1979-07-22,180.0,Le Perreux-sur-Marne,Paris,Plain stage,Bernard Hinault,FRA
860,P,1978-06-29,5.0,Leiden,Leiden,Individual time trial,Jan Raas,NED
861,1a,1978-06-30,135.0,Leiden,Sint Willebrord,Plain stage,Jan Raas,NED
862,1b,1978-06-30,100.0,Sint Willebrord,Brussels,Plain stage,Walter Planckaert,BEL
863,2,1978-07-01,199.0,Brussels,Saint-Amand-les-Eaux,Plain stage,Jacques Esclassan,FRA
864,3,1978-07-02,244.0,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,Plain stage,Klaus-Peter Thaler,GER
866,5,1978-07-04,244.0,Caen,Mazé-Montgeoffroy,Plain stage,Freddy Maertens,BEL
867,6,1978-07-05,162.0,Mazé-Montgeoffroy,Poitiers,Plain stage,Sean Kelly,IRE
868,7,1978-07-06,242.0,Poitiers,Bordeaux,Plain stage,Freddy Maertens,BEL
869,8,1978-07-07,59.0,Saint-Émilion,Sainte-Foy-la-Grande,Individual time trial,Bernard Hinault,FRA
870,9,1978-07-08,233.0,Bordeaux,Biarritz,Plain stage,Miguel Maria Lasa,ESP
871,10,1978-07-10,192.0,Biarritz,Pau,Hilly stage,Henk Lubberding,NED
872,11,1978-07-11,161.0,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Mariano Martínez,FRA
874,12b,1978-07-12,96.0,Valence d'Agen,Toulouse,Plain stage,Jacques Esclassan,FRA
875,13,1978-07-13,221.0,Figeac,Super Besse,Hilly stage,Paul Wellens,BEL
876,14,1978-07-14,52.0,Besse-en-Chandesse,Puy de Dôme,Individual time trial,Joop Zoetemelk,NED
877,15,1978-07-15,196.0,Saint-Dier-d'Auvergne,Saint-Étienne,Hilly stage,Bernard Hinault,FRA
878,16,1978-07-16,241.0,St-Étienne,Alpe d'Huez,Stage with mountain(s),Hennie Kuiper,NED
879,17,1978-07-18,225.0,Grenoble,Morzine,Stage with mountain(s),Christian Seznec,FRA
880,18,1978-07-19,137.0,Morzine,Lausanne,Plain stage,Gerrie Knetemann,NED
881,19,1978-07-20,182.0,Lausanne,Belfort,Plain stage,Marc Demeyer,BEL
882,20,1978-07-21,72.0,Metz,Nancy,Individual time trial,Bernard Hinault,FRA
883,21,1978-07-22,207.0,Epernay,Senlis,Plain stage,Jan Raas,NED
884,22,1978-07-23,162.0,Saint Germain en Laye,Paris,Plain stage,Gerrie Knetemann,NED
885,P,1977-06-30,5.0,Fleurance,Fleurance,Individual time trial,Dietrich Thurau,FRG
886,1,1977-07-01,237.0,Fleurance,Auch,Plain stage,Pierre-Raymond Villemiane,FRA
887,2,1977-07-02,253.0,Auch,Pau,Stage with mountain(s),Dietrich Thurau,FRG
888,3,1977-07-03,248.0,Oloron-Sainte-Marie,Vitoria-Gasteiz,Stage with mountain(s),José Nazabal,ESP
889,4,1977-07-04,256.0,Vitoria-Gasteiz,Seignosse le Penon,Stage with mountain(s),Régis Delépine,FRA
890,5a,1977-07-05,139.0,Morcenx,Bordeaux,Plain stage,Jacques Esclassan,FRA
891,5b,1977-07-05,30.0,Bordeaux,Bordeaux,Individual time trial,Dietrich Thurau,FRG
892,6,1977-07-07,225.0,Bordeaux,Limoges,Plain stage,Jan Raas,NED
893,7a,1977-07-08,140.0,Jaunay-Clan,Angers,Plain stage,Patrick Sercu,BEL
895,8,1977-07-09,247.0,Angers,Lorient,Plain stage,Giacinto Santambrogio,ITA
896,9,1977-07-10,187.0,Lorient,Rennes,Stage with mountain(s),Klaus-Peter Thaler,FRG
897,10,1977-07-11,174.0,Bagnoles-de-l'Orne,Rouen,Plain stage,Fedor den Hertog,NED
898,11,1977-07-12,242.0,Rouen,Roubaix,Plain stage,Jean-Pierre Danguillaume,FRA
899,12,1977-07-13,193.0,Roubaix,Charleroi,Stage with mountain(s),Patrick Sercu,BEL
900,13a,1977-07-14,46.0,Freiburg,Freiburg,Plain stage,Patrick Sercu,BEL
901,13b,1977-07-14,160.0,Altkirch ,Besançon,Plain stage,Jean-Pierre Danguillaume,FRA
902,14,1977-07-16,230.0,Besançon,Thonon-les-Bains,Stage with mountain(s),Bernard Quilfen,FRA
903,15a,1977-07-17,105.0,Thonon-les-Bains,Morzine,Stage with mountain(s),Paul Wellens,BEL
904,15b,1977-07-17,14.0,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
905,16,1977-07-18,121.0,Morzine,Chamonix,Stage with mountain(s),Dietrich Thurau,FRG
906,17,1977-07-19,185.0,Chamonix,Alpe d'Huez,Stage with mountain(s),Hennie Kuiper,NED
908,19,1977-07-21,172.0,Saint-Trivier-sur-Moignans,Dijon,Plain stage,Gerrie Knetemann,NED
909,20,1977-07-22,50.0,Dijon,Dijon,Individual time trial,Bernard Thévenet,FRA
910,21,1977-07-23,142.0,Montereau-Fault-Yonne,Versailles,Plain stage,Gerrie Knetemann,NED
911,22a,1977-07-24,6.0,Paris,Paris,Individual time trial,Dietrich Thurau,FRG
912,22b,1977-07-24,91.0,Paris,Paris,Plain stage,Alain Meslet,FRA
913,P,1976-06-24,8.0,Saint-Jean-de-Monts,Saint-Jean-de-Monts,Individual time trial,Freddy Maertens,BEL
914,1,1976-06-25,173.0,Saint-Jean-de-Monts,Angers,Flat Stage,Freddy Maertens,BEL
915,2,1976-06-26,237.0,Angers,Caen,Flat Stage,Giovanni Battaglin,ITA
916,3,1976-06-27,37.0,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,Individual time trial,Freddy Maertens,BEL
917,4,1976-06-28,258.0,Le Touquet-Paris-Plage,Bornem,Flat Stage,Hennie Kuiper,NED
919,5b,1976-06-29,144.0,Leuven,Verviers,Half Stage,Miguel-Maria Lasa,ESP
920,6,1976-06-30,209.0,Bastogne,Nancy,Flat Stage,Aldo Parecchini,ITA
921,7,1976-07-01,206.0,Nancy,Mulhouse,Flat Stage,Freddy Maertens,BEL
922,8,1976-07-02,220.0,Valentigney,Divonne-les-Bains,Flat Stage,Jacques Esclassan,FRA
923,9,1976-07-04,258.0,Divonne-les-Bains,Alpe d'Huez,Mountain Stage,Joop Zoetemelk,NED
924,10,1976-07-05,166.0,Le Bourg-d'Oisans,Montgenèvre,Mountain Stage,Joop Zoetemelk,NED
925,11,1976-07-06,224.0,Montgenèvre,Manosque,Mountain Stage,José-Luis Viejo,ESP
926,12,1976-07-08,205.0,Le Barcarès,Pyrénées 2000,Mountain Stage,Raymond Delisle,FRA
927,13,1976-07-09,188.0,Font-Romeu-Odeillo-Via,Saint-Gaudens,Mountain Stage,Willy Teirlinck[8],BEL
928,14,1976-07-10,139.0,Saint-Gaudens,Saint-Lary-Soulan,Mountain Stage,Lucien Van Impe,BEL
929,15,1976-07-11,195.0,Saint-Lary-Soulan,Pau,Mountain Stage,Wladimiro Panizza,ITA
930,16,1976-07-12,152.0,Pau,Fleurance,Flat Stage,Michel Pollentier,BEL
931,17,1976-07-13,39.0,Fleurance,Auch,Individual time trial,Ferdinand Bracke,BEL
932,18a,1976-07-14,86.0,Auch,Langon,Half Stage,Freddy Maertens,BEL
933,18b,1976-07-14,123.0,Langon,Lacanau,Half Stage,Freddy Maertens,BEL
934,18c,1976-07-14,70.0,Lacanau,Bordeaux,Half Stage,Gerben Karstens,NED
935,19,1976-07-15,220.0,Sainte-Foy-la-Grande,Tulle,Flat Stage,Hubert Mathis,FRA
936,20,1976-07-16,220.0,Tulle,Puy de Dôme,Mountain Stage,Joop Zoetemelk,NED
937,21,1976-07-17,145.0,Montargis,Versailles,Flat Stage,Freddy Maertens,BEL
